timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648156199858,257,Permission,200,OK,Thread Group 1-141,text,true,,271,256,39,39,https://restful-booker.herokuapp.com/auth,257,0,0
1648156199862,264,Delete,201,Created,Thread Group 1-129,text,true,,248,242,39,39,https://restful-booker.herokuapp.com/booking/647,264,0,0
1648156199862,268,Delete,201,Created,Thread Group 1-130,text,true,,248,242,38,38,https://restful-booker.herokuapp.com/booking/648,268,0,0
1648156199860,273,Patch,200,OK,Thread Group 1-133,text,true,,424,268,37,37,https://restful-booker.herokuapp.com/booking/651,273,0,0
1648156199869,266,Update,200,OK,Thread Group 1-137,text,true,,424,448,37,37,https://restful-booker.herokuapp.com/booking/655,266,0,0
1648156199885,260,Permission,200,OK,Thread Group 1-142,text,true,,271,256,37,37,https://restful-booker.herokuapp.com/auth,260,0,0
1648156199883,278,Get,200,OK,Thread Group 1-146,text,true,,415,189,38,38,https://restful-booker.herokuapp.com/booking/664,278,0,0
1648156199144,1028,Create ,200,OK,Thread Group 1-151,text,true,,443,407,38,38,https://restful-booker.herokuapp.com/booking/,1028,0,759
1648156199888,286,Patch,200,OK,Thread Group 1-134,text,true,,424,268,38,38,https://restful-booker.herokuapp.com/booking/652,286,0,0
1648156199892,283,Patch,200,OK,Thread Group 1-135,text,true,,424,268,38,38,https://restful-booker.herokuapp.com/booking/653,283,0,0
1648156199905,277,Update,200,OK,Thread Group 1-138,text,true,,424,448,38,38,https://restful-booker.herokuapp.com/booking/656,277,0,0
1648156199934,259,Delete,201,Created,Thread Group 1-131,text,true,,248,242,38,38,https://restful-booker.herokuapp.com/booking/649,259,0,0
1648156199947,265,Get,200,OK,Thread Group 1-147,text,true,,415,189,37,37,https://restful-booker.herokuapp.com/booking/665,265,0,0
1648156199952,262,Permission,200,OK,Thread Group 1-143,text,true,,271,256,37,37,https://restful-booker.herokuapp.com/auth,262,0,0
1648156199968,257,Patch,200,OK,Thread Group 1-136,text,true,,424,268,39,39,https://restful-booker.herokuapp.com/booking/654,257,0,0
1648156199204,1026,Create ,200,OK,Thread Group 1-152,text,true,,443,407,39,39,https://restful-booker.herokuapp.com/booking/,1026,0,769
1648156199988,260,Delete,201,Created,Thread Group 1-132,text,true,,248,242,40,40,https://restful-booker.herokuapp.com/booking/650,260,0,0
